Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
guanh,classifier,guanh,guanh,ฝูง,,ຝູງ,,đàn,群,qún,kwan4,"Classifier for herds, crowds, clusters.","Classificateur pour troupeaux, foules, groupes.",ลักษณนามสำหรับฝูงหรือกลุ่ม,ລັກສະນະນາມສໍາລັບຝູງ,"bộ phân loại cho đàn, đám, cụm",表示群体的量词,,,,
guatc,adjective,to scrape,gratter,ขูด,,ຂູດ,,cạo,刮,guā,gwaat3,,,,,,,,,,
guatc,adjective,dirty,sale,สกปรก,,ສົກກະປົກ,,bẩn,脏,zāng,zong1,,,,,,,,,,
guatc doqc,noun,cruelty,cruauté,ความโหดร้าย,,ຄວາມໂຫດຮ້າຍ,,sự tàn ác,残忍,cánrěn,caan4 jan2,,,,,,,,,,
guatc doqc,adverb,malicious,malveillant,เจตนาร้าย,,ຈິດໃຈຮ້າຍ,,ác tâm,歹意,dǎiyì,daai2 ji3,,,,,,,,,,
guc iv,adverb,beginning to rain,commencement de la pluie,เริ่มฝนตก,,ເລີ່ມຝນຕົກ,,bắt đầu mưa,开始下雨,kāishǐ xiàyǔ,hoi1 ci2 haa6 jyu5,,,,,,,,,,
gu'daeh,noun,helicopter,hélicoptère,แมลงปอ (แสลง),,ແມງປໍ,,trực thăng,直升机,zhí shēng jī,zik6 sing1 gei1,,,,,,,,Literary,,
guei,noun,turtle,tortue,เต่า,,ເຕົ່າ,,rùa,龜,guī,gwai1,,,,,,,,Literary,,
guei,noun,snail,escargot,หอยทาก,,ຫອຍທາກ,,ốc sên,蜗牛,wōniú,wo1 ngau4,,,,,,,,,,
guei,verb,tortoise,tortue,เต่า,,ເຕົ່າ,,rùa,乌龟,wūguī,wu1 gwai1,,,,,,,,Literary,,
guei,noun,to return,revenir,กลับ,,ກັບ,,trở về,回来/返回,huí lái/fǎn huí,wui4 loi4/faan2 wui4,,,,,,,,,,
gueic,noun,to kneel,s'agenouiller,คุกเข่า,,ຄຸກເຂົ່າ,,quỳ xuống,跪下,guì xià,gwai6 haa6,,,,,,,,,,
gueic,noun,length measurement unity using handspan,unité de mesure par la main,หน่วยวัดช่วงมือ,,ຫົວມື,,đơn vị đo bằng gang tay,掌距,zhǎngjù,zoeng2 geoi6,,,,,,,,,,
guei-je,verb,tradition,tradition,ประเพณี,,ປະເພນີ,,truyền thống,传统,chuántǒng,cyun4 tung2,,,,,,,,,Chinese,
guei-jei,noun,regulation,règlement,กฎระเบียบ,,ກົດລະບຽບ,,điều lệ,条例,tiáolì,tiu4 lei6,,,,,,,,,Chinese,
guei-jei,noun,custom,coutume,ประเพณี,,ປະເພນີ,,phong tục,习俗,xísú,zaap6 zuk6,,,,,,,,,Chinese,
guei-jei leiz-nyeic,noun,tradition,tradition,ประเพณี,,ປະເພນີ,,truyền thống,传统,chuántǒng,cyun4 tung2,,,,,,,,,,
guei-jei leiz-nyeic,noun,history,histoire,ประวัติศาสตร์,,ປະຫວັດສາດ,,lịch sử,歷史,lì shǐ,lik6 si2,,,,,,,,,,
guei-jei leiz-nyeic,noun,custom,coutume,ประเพณี,,ປະເພນີ,,phong tục,习俗,xísú,zaap6 zuk6,,,,,,,,,,
gueiv,adjective,ghost,fantôme,ผี,,ຜີ,,ma,鬼,guǐ,gwai2,,,,,,,,,Chinese,
gueiv,noun,emaciated,émacié,ผอมแห้ง,,ຜອມແຫ້ງ,,hốc hác,消瘦,xiāo shòu,siu1 sau3,,,,,,,,,,
gueiv,noun,demon,démon,ปีศาจ,,ຜີຮ້າຍ,,ác quỷ,恶魔,èmó,ak3 mo1,,,,,,,,,Chinese,
gueix,noun,noble,noble,สูงศักดิ์,,ສູງສັກ,,cao quý,高贵的,gāoguì de,gou1 gwai3 dik1,,,,,,,,Literary,,
gueix,adjective,season,saison,ฤดูกาล,,ລະດູການ,,mùa,季节,jìjié,gwai3 zit3,,,,,,,,Literary,,
gueix,noun,honorable,honorable,น่านับถือ,,ໜ້ານັບຖື,,đáng kính,可敬的,kě jìng de,ho2 ging3 dik1,,,,,,,,Literary,,
gueix,verb,valuable,vague,กำกวม,,ກຳກວມ,,mơ hồ,模糊的,mó hú de,mou4 wu4 dik1,,,,,,,,,,
gueix,adjective,tenth Heavenly Stem,dixième tronc céleste,ลำดับฟ้าสิบ,,ກ້ານຟ້າທີ່ສິບ,,can thứ mười,天干第十,tiāngān dì shí,tin1 gon1 dai6 sap6,,,,,,,,,,
gueix,noun,to dig out,déterrer,ขุดออก,,ຂຸດອອກ,,đào ra,挖出,wā chū,waa1 ceot1,,,,,,,,,,
gueix,noun,precious,précieux,ล้ำค่า,,ລ້ຳຄ່າ,,quý giá,珍贵的,zhēnguì de,zan1 gwai3 dik1,,,,,,,,Literary,,
gueix,noun,distinguished,distingué,โดดเด่น,,ໂດດເດັ່ນ,,xuất chúng,卓越,zhuó yuè,zoek3 jyut6,,,,,,,,Literary,,
Gueix,adjective,Kouie,Kouaï,ก๋วย,,ກ໋ວຍ,,Quẩy,—,,—,The first part of a male generation name that is specific to each clan and subclan.,Première partie d’un préfixe générationnel masculin indiquant la position dans le cycle générationnel du clan.,ส่วนแรกของคำนำหน้าชื่อรุ่นฝ่ายชายที่บอกตำแหน่งภายในรอบชื่อรุ่นของตระกูล,ສ່ວນທຳອິດຂອງຄຳນຳໜ້າຊື່ລຸ້ນຊາຍ ທີ່ຊີ້ຕຳແໜ່ງໃນວົງຈອນຊື່ລຸ້ນຂອງຕະກູນ,Phần đầu của tiền tố thế hệ nam cho biết vị trí trong chu kỳ tên thế hệ của họ.,表示在宗族辈分循环中位置的男性辈分名前缀首字,,,,
gueix,noun,rich,riche,รวย,,ລວຍ,,giàu,富有,fùyǒu,fu3 jau5,,,,,,,,Literary,,
gueix-caauv,noun,tenth Heavenly Stem and the second (ox) Earthly Branch,dixième tronc et bœuf,ฟ้าสิบ-ฉลู,,ຟ້າສິບ-ງົວ,,can mười chi sửu,癸丑,Guǐchǒu,gwai3 cau2,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
gueix-hoiz,noun,tenth Heavenly Stem and twelfth (pig) Earthly Branch,dixième tronc et cochon,ฟ้าสิบ-กุน,,ຟ້າສິບ-ໝູ,,can mười chi hợi,癸亥,Guǐhài,gwai3 hoi6,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
gueix-maauz,noun,tenth Heavenly Stem and fourth (rabbit) Earthly Branch,dixième tronc et quatrième branche,ฟ้าสิบ-เถาะ,,ຟ້າສິບ-ກະຕ່າ,,can mười chi mão,癸卯,Guǐmǎo,gwai3 maau5,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
gueix-meic,noun,tenth Heavenly Stem and eight (goat) Earthly Branch,dixième tronc et huitième branche,ฟ้าสิบ-แพะ,,ຟ້າສິບ-ແບ້,,can mười chi mùi,癸未,Guǐwèi,gwai3 mei6,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
gueix-youz,noun,tenth Heavenly Stem and tenth (rooster) Earthly Branch,dixième tronc et dixième branche,ฟ้าสิบ-ระกา,,ຟ້າສິບ-ໄກ່,,can mười chi dậu,癸酉,Guǐyǒu,gwai3 jau5,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
gueix-zeiz,noun,tenth Heavenly Stem and tenth (snake) Earthly Branch,dixième tronc et serpent,ฟ้าสิบ-งู,,ຟ້າສິບ-ງູ,,can mười chi tỵ,癸巳,Guǐsì,gwai3 zi6,Chinese lunar calendar.,Calendrier lunaire chinois.,ปฏิทินจันทรคติจีน,ປະຕິທິນຈັນທະຄະຕິຈີນ,Âm lịch Trung Quốc,中国农历,,Literary,Chinese,
guekv,adjective,bloated,gonflé,ท้องอืด,,ທ້ອງອືດ,,chướng bụng,腹胀,fùzhàng,fuk1 zoeng3,,,,,,,,,,
guen,verb,to involve,impliquer,พัวพัน,,ພົວພັນ,,dính líu,糾纏,jiū chán,gau2 cin4,,,,,,,,,,
guen,adjective,affect,affecter,มีผลต่อ,,ມີຜົນກະທົບ,,ảnh hưởng,影响,yǐngxiǎng,jing2 hoeng2,,,,,,,,,,
guenx,adjective phrase,accustomed to,habitué à,คุ้นเคยกับ,,ຄຸ້ນເຄີຍ,,quen với,习惯于,xíguàn yú,zaap6 gwaan3 jyu1,,,,,,,,,,
guenx,adjective,used to,utilisé pour,เคย,,ເຄີຍ,,đã từng,習慣於,xí guàn yú,zaap6 gwaan3 jyu1,,,,,,,,,,
guetv,noun,to scrape,gratter,ขูด,,ຂູດ,,cạo,刮,guā,gwaat3,,,,,,,,,,
guetv,adjective,hoe-like implement for scraping,outil de raclage,เครื่องมือถากดิน,,ເຄື່ອງມືຖາກດິນ,,dụng cụ cạo,刮鋤,guā chú,waat3 co4,,,,,,,,,,
guh hanh fu'jueiv,noun,orphan,orphelin,ลูกกำพร้า,,ລູກກຳພ້າ,,trẻ mồ côi,孤儿,gū'ér,gu1 ji4,,,,,,,,,,
guh hornh,noun,orphaned,orphelin,กำพร้า,,ກຳພ້າ,,mồ côi,成孤儿,chéng gū'ér,sing4 gu1 ji4,,,,,,,,,,
guh hornh jaa-fin,adjective,orphaned spirit,esprit orphelin,วิญญาณกำพร้า,,ວິນຍານກຳພ້າ,,linh hồn mồ côi,孤魂,gūhún,gu1 wan4,,,,,,,,,,
guh-biuh,noun,lotus,lotus,บัว,,ບົວ,,hoa sen,莲花,liánhuā,lin4 faa1,,,,,,,,,,
guh-dai,noun,"proper behavior based on status, rank, age, or interpersonal relationships",comportement approprié,กิริยามารยาทที่เหมาะสม,,ກິລິຍາມາລະຍາດທີ່ເໝາະສົມ,,cư xử đúng mực,礼仪,lǐyí,lai5 ji4,,,,,,,,,,
guh-hanh,noun,orphaned,orphelin,กำพร้า,,ກຳພ້າ,,mồ côi,成孤儿,chéng gū'ér,sing4 gu1 ji4,,,,,,,,,,
guh-hanh biauv,adjective,orphanage,orphelinat,สถานรับเลี้ยงเด็กกำพร้า,,ສະຖານຮັບລ້ຽງເດັກກຳພ້າ,,trại trẻ mồ côi,孤儿院,gū'éryuàn,gu1 ji4 jyun2,,,,,,,,,,
guh-sen biu,noun,wildcat,chat sauvage,แมวป่า,,ແມວປ່າ,,mèo rừng,野猫,yěmāo,je5 maau1,,,,,,,,,,
guinh,noun,to revolve,tourner,หมุนรอบ,,ໝຸນຮອບ,,xoay quanh,旋转,xuán zhuǎn,syun4 zyun2,,,,,,,,,,
guinh,verb,to rotate,tourner,หมุน,,ໝຸນ,,xoay,旋转,xuán zhuǎn,syun4 zyun2,,,,,,,,,,
guinh,verb,to spin,tourner,หมุน,,ຫມຸນ,,quay,转,zhuǎn,zyun2,,,,,,,,,,
gu'kuotv,onomatopoeia,buttock,fesse,ก้น,,ກົ້ນ,,mông,臀部,tún bù,tyun4 bou6,,,,,,,,,,
gu'kuotv-gorngc,noun,upper buttock,haut de la fesse,สะโพกส่วนบน,,ສະໂພກສ່ວນເທິງ,,phần trên mông,臀部上方,tún bù shàng fāng,tyun4 bou6 soeng6 fong1,,,,,,,,,,
gu'kuotv-gorngc mbungv,noun,pelvis,pelvis,เชิงกราน,,ຊິງກຣານ,,xương chậu,骨盆,gǔpén,gwat1 pun4,,,,,,,,,,
gu'kuotv-kuv,noun,rectum,rectum,ทวารหนัก,,ທະວານໜັກ,,trực tràng,直肠,zhícháng,zik6 coeng4,,,,,,,,,,
gu'kuotv-njien,noun,tailbone,coccyx,กระดูกก้นกบ,,ກະດູກກົ້ນກົບ,,xương cụt,尾骨,wěigǔ,mei5 gwat1,,,,,,,,,,
gu'kuotv-norm,noun,lower buttock,bas de la fesse,ก้นล่าง,,ກົ້ນລຸ່ມ,,mông dưới,臀下,tún xià,tyun4 haa6,,,,,,,,,,
gu'kuotv-nyapc,noun,anus,anus,ทวารหนัก,,ທະວານໜັກ,,hậu môn,肛门,gāngmén,gong1 mun4,,,,,,,,,,
gu'laangh,noun,Chinese sorghum,sorgho chinois,ข้าวฟ่างจีน,,ຂ້າວຟ່າງຈີນ,,cao lương,高粱,gāoliáng,gou1 loeng4,,,,,,,,,,
gu'laangh,noun,type of millet,type de millet,ข้าวฟ่างชนิดหนึ่ง,,ເຂົ້າຟ່າງຊະນິດໜຶ່ງ,,loại kê,粟類,sù lèi,suk1 leoi6,,,,,,,,,,
gunc,noun,to press and rub with hard object,presser et frotter,กดและถูด้วยของแข็ง,,ກົດແລະຖູດ້ວຍຂອງແຂງ,,ép và xoa vật cứng,摩壓,mó yā,mo1 aat3,,,,,,,,,,
gungh gangc,preposition,across,à travers,ข้าม,,ຂ້າມ,,băng qua,穿过,chuānguò,cyun1 gwo3,,,,,,,,,,
gungh gangc,adverb,horizontally,horizontalement,ในแนวราบ,,ໃນແນວຣາບ,,theo chiều ngang,水平地,shuǐ píng de,seoi2 ping4 dei6,,,,,,,,,,
gu'nguaaic,preposition,top,dessus,ด้านบน,,ດ້ານເທິງ,,đỉnh/trên,顶,dǐng,ding2,,,,,,,,,,
gu'nguaaic,adjective,upper,supérieur,ส่วนบน,,ສ່ວນເທິງ,,phía trên,上部的,shàng bù de,soeng6 bou6 dik1,,,,,,,,,,
gu'nguaaic,adverb,above,au-dessus,เหนือ,,ເທິງ,,trên,上面,shàngmiàn,soeng6 min6,,,,,,,,,,
gu'nguaaic bung,adjective,upper side,côté supérieur,ด้านบน,,ດ້ານເທິງ,,phía trên,上面,shàng miàn,soeng6 min6,,,,,,,,,,
gu'nguaaic maengx,noun,top side,dessus,ด้านบน,,ດ້ານເທິງ,,mặt trên,上面,shàngmiàn,soeng6 min6,,,,,,,,,,
gu'nguaaz,noun,baby,bébé,ทารก,,ເດັກນ້ອຍ,,em bé,婴儿,yīng’ér,jing1 ji4,,,,,,,,,,
gu'nguaaz,noun,infant,nourrisson,ทารก,,ເດັກອ່ອນ,,trẻ sơ sinh,婴儿,yīng’ér,jing1 ji4,,,,,,,,,,
gu'nguaaz mbaang,noun,to have miscarriage,faire une fausse couche,แท้งลูก,,ແທ້ງລູກ,,sảy thai,流產,liú chǎn,lau4 caan2,,,,,,,,,,
gu'nguaaz muih,noun,placenta,placenta,รก,,ລົກ,,nhau thai,胎盘,tāipán,toi1 pun4,,,,,,,,,,
gu'nguaaz-cunv,noun,fussy child,enfant difficile,เด็กจุกจิก,,ເດັກຈຸກຈິກ,,trẻ khó tính,难养的孩子,nán yǎng de hái zi,naan4 joeng5 dik1 haai4 zi2,,,,,,,,,,
gu'nguaaz-doix,noun,twins,jumeaux,ฝาแฝด,,ລູກແຝດ,,cặp song sinh,雙胞胎,shuāng bāo tāi,soeng1 baau1 toi1,,,,,,,,,,
gu'nguaaz-dorngc,noun,illegitimate child,enfant illégitime,ลูกนอกสมรส,,ລູກນອກສົມຣົດ,,con ngoài giá thú,私生子,sī shēng zǐ,si1 sang1 zi2,,,,,,,,,,
gu'nguaaz-dutv,noun,chubby or fat child,enfant potelé,เด็กอ้วน,,ເດັກອ້ວນ,,trẻ mập,胖孩子,pàng háizi,pong3 haai4 zi2,,,,,,,,,,
gu'nguaaz-fun,adjective,grandchild,petit-enfant,หลาน,,ຫຼານ,,cháu,孙子,sūn zi,syun1 zi2,,,,,,,,,,
gu'nguaaz-gaa,noun,song about the spirit of unborn baby,chant de l'esprit,เพลงเกี่ยวกับขวัญเด็กที่ยังไม่เกิด,,ເພງກ່ຽວກັບຂວັນເດັກທີ່ຍັງບໍ່ເກີດ,,bài hát về linh hồn thai nhi,关于胎灵的歌,guānyú tāilíng de gē,gwaan1 jyu1 toi1 ling4 dik1 go1,,,,,,,,,,
gu'nguaaz-hlorpv,noun,adopted child,enfant adopté,ลูกบุญธรรม,,ລູກບຸນທຳ,,con nuôi,养子,yǎngzǐ,joeng5 zi2,,,,,,,,,,
gu'nguaaz-jauv,noun,birth canal,canal de naissance,ช่องคลอด,,ຊ່ອງຄອດ,,ống sinh,产道,chǎndào,caan2 dou6,,,,,,,,,,
gu'nguaaz-mbuoqc,noun,womb,matrice,ครรภ์,,ຄັນ,,dạ con,胞宮,bāo gōng,baau1 gung1,,,,,,,,,,
gu'nguaaz-neuz,noun,umbilical cord,cordon ombilical,สายสะดือ,,ສາຍສະດືອ,,dây rốn,脐带,qídài,ci4 daai3,,,,,,,,,,
gu'nguaaz-nzuonx,noun,stepchild,enfant d'un premier lit,ลูกเลี้ยง,,ລູກລ້ຽງ,,con riêng,继子女,jìzǐnǚ,gai3 zi2 neoi5,,,,,,,,,,
gu'nguaaz-siqv,noun,newborn baby,nouveau-né,ทารกแรกเกิด,,ທາລົກທຳອິດເກີດ,,trẻ sơ sinh,新生儿,xīnshēng'ér,san1 sang1 ji4,,,,,,,,,,
gu'nguaaz-toi,noun,child born out of wedlock,enfant illégitime,เด็กนอกสมรส,,ເດັກນອກສົມຣົດ,,trẻ ngoài giá thú,私生子,sīshēngzǐ,si1 sang1 zi2,,,,,,,,,,
gunv,verb,to manage,gérer,จัดการ,,ຈັດການ,,quản lý,管理,guǎn lǐ,gun2 lei5,,,,,,,,,,
gunv,noun,to control,contrôler,ควบคุม,,ຄວບຄຸມ,,kiểm soát,控制,kòngzhì,hung3 zai3,,,,,,,,,,
gunv,verb,to rule,gouverner,ปกครอง,,ປົກຄອງ,,cai trị,统治,tǒng zhì,tung2 zi6,,,,,,,,,,
gunv,verb,to govern,gouverner,ปกครอง,,ປົກຄອງ,,cai trị,治理,zhìlǐ,zi6 lei5,,,,,,,,,,
gunv ... gunv ...,verb,more...more,plus… plus…,ยิ่ง…ยิ่ง…,,ຍິ່ງ…ຍິ່ງ…,,càng…càng…,越…越…,yuè…yuè…,jyut6…jyut6…,,,,,,,,,,
gunv jaa-dingh,verb,to take care of the family,prendre soin de la famille,ดูแลครอบครัว,,ດູແລຄອບຄົວ,,chăm lo cho gia đình,照看家庭,zhào kàn jiā tíng,ziu3 hon3 gaa1 ting4,,,,,,,,,,
gunv sic,verb,in charge of particular case or matter,responsable d'une affaire ou d'une question particulière,รับผิดชอบคดีหรือเรื่องเฉพาะ,,ຮັບຜິດຊອບຄະດີ ຫຼື ເລື່ອງສະເພาະ,,phụ trách vụ việc hoặc vấn đề cụ thể,负责特定案件或事项,fù zé tè dìng àn jiàn huò shì xiàng,fu6 zaak3 dak6 ding6 on3 gin2 waak6 si6 hong6,,,,,,,,,,
gunv-binc,phrase,as you please,comme vous voulez,ตามสบาย,,ຕາມສະບາຍ,,tùy ý,随意,suíyì,ceoi4 ji3,,,,,,,gunv-binc zoux: do as you please,,,
gunx,verb,to force to drink,forcer à boire,บังคับให้ดื่ม,,ບັງຄັບໃຫ້ດື່ມ,,ép uống,强灌,qiángguàn,koeng4 gun3,,,,,,,gunx diuv: to force someone to drink alcohol,,,
gunx,verb,to pour into,verser dans,เทใส่,,ເທໃສ່,,đổ vào,倒入,dào rù,dou2 jap6,,,,,,,gunx jaangh: to pour into the intestine to make sausage,Slang,,
gunx nongc,verb,infected with pus,infecté de pus,ติดหนอง,,ຕິດໜອງ,,nhiễm mủ,化脓的,huà nóng de,faa3 nung4 dik1,,,,,,,,,,
gu'nyuoz,adjective,inside,à l’intérieur,ข้างใน,,ຂ້າງໃນ,,bên trong,里面,lǐmiàn,lei5 min6,,,,,,,,,,
gu'nyuoz,noun,interior,intérieur,ภายใน,,ພາຍໃນ,,nội thất,内部,nèibù,noi6 bou6,,,,,,,,,,
gu'nyuoz,preposition,within,dedans,ข้างใน,,ຂ້າງໃນ,,bên trong,內部,nèi bù,noi6 bou6,,,,,,,,,,
guoc-jaa,adjective,country,pays,ประเทศ,,ປະເທດ,,đất nước,国家,guójiā,gwok3 gaa1,,,,,,,,,,
guoc-jaa,noun,nation,nation,ชาติ,,ຊາດ,,quốc gia,国家,guójiā,gwok3 gaa1,,,,,,,,,,
guoc-jaa,noun,government,gouvernement,รัฐบาล,,ລັດຖະບານ,,chính phủ,政府,zhèng fǔ,zing3 fu2,,,,,,,,,,
guon,noun,to close,fermer,ปิด,,ປິດ,,đóng,关闭,guānbì,gwaan1 bai3,,,,,,,,,,
guon,verb,to shut,fermer,ปิด,,ປິດ,,đóng,关闭,guān bì,gwaan1 bai3,,,,,,,,,,
guonv,verb,to roll around,se rouler,กลิ้งไปรอบๆ,,ກິ້ງໄປຮອບໆ,,lăn tròn,打滚,dǎ gǔn,daa2 gwan2,,,,,,,,,,
guonx,adverb,to attempt to persuade by pleading or deception,tenter de persuader en plaidant,อ้อนวอนหว่านล้อม,,ອ້ອນວອນຫວ່ານລ້ອມ,,thuyết phục bằng cách cầu xin,懇求說服,kěnqiú shuōfú,han2 kau4 syut3 fuk6,,,,,,,,,,
guoqc,verb,to coil,enrouler,ขด,,ຂົດ,,quấn,盘绕,pánrào,pun4 jiu5,,,,,,,,,,
guoqv,noun,country,pays,ประเทศ,,ປະເທດ,,đất nước,国家,guójiā,gwok3 gaa1,,,,,,,,,Chinese,
guoqv,noun,nation,nation,ชาติ,,ຊາດ,,quốc gia,国家,guójiā,gwok3 gaa1,,,,,,,,,Chinese,
guoqv,noun,to dip,tremper,จุ่ม,,ຈຸ່ມ,,nhúng,浸,jìn,zam3,,,,,,,,,,
guotv,noun,inherited ability or characteristics,capacité ou caractéristique héritée,ความสามารถหรือคุณลักษณะที่สืบทอด,,ຄວາມສາມາດຫຼືລັກສະນະທີ່ສືບທອດ,,năng lực hoặc đặc điểm di truyền,遗传能力或特征,yíchuán nénglì huò tèzhēng,jai4 cyun4 nang4 lik6 waak6 dak6 zing1,,,,,,,,,,
